TalentName, TalentDescription, TalentRank, TalentType,Class,Subclass,,,,,
Adaptable,"""8 damage in a 5’ AoE or 12 damage to a single target""",2,Skill,Ranger,Stalker,,,,," (N'Adaptable', N'""8 damage in a 5’ AoE or 12 damage to a single target""', 2, N'Skill', N'Ranger', N'Stalker'),"
Adaptable,"""12 damage in a 5’ AoE or 16 damage to single target""",3,Skill,Ranger,Stalker,,,,," (N'Adaptable', N'""12 damage in a 5’ AoE or 16 damage to single target""', 3, N'Skill', N'Ranger', N'Stalker'),"
Agile,"""Adds 1 base damage to the player’s ranged attacks.""",1,Skill,Ranger,Stalker,,,,," (N'Agile', N'""Adds 1 base damage to the player’s ranged attacks.""', 1, N'Skill', N'Ranger', N'Stalker'),"
Agile,"""Adds 2 base damage to the player’s ranged attacks.""",2,Skill,Ranger,Stalker,,,,," (N'Agile', N'""Adds 2 base damage to the player’s ranged attacks.""', 2, N'Skill', N'Ranger', N'Stalker'),"
Agile,"""Adds 4 base damage to the player’s ranged attacks.""",3,Skill,Ranger,Stalker,,,,," (N'Agile', N'""Adds 4 base damage to the player’s ranged attacks.""', 3, N'Skill', N'Ranger', N'Stalker'),"
Vigilant,"""The player will know if any Rank I Rogue talent is used near them. The player is aware if there is anything unseen nearby.""",1,Skill,Ranger,Stalker,,,,," (N'Vigilant', N'""The player will know if any Rank I Rogue talent is used near them. The player is aware if there is anything unseen nearby.""', 1, N'Skill', N'Ranger', N'Stalker'),"
Vigilant,"""The player will know if any Rank 2 Rogue talent is used near them. The player can identify nearby danger. Gain +2 base damage on first hit against a detected target.""",2,Skill,Ranger,Stalker,,,,," (N'Vigilant', N'""The player will know if any Rank 2 Rogue talent is used near them. The player can identify nearby danger. Gain +2 base damage on first hit against a detected target.""', 2, N'Skill', N'Ranger', N'Stalker'),"
Vigilant,"""The player will know if any Rogue talents are used near them or if any talents are used for stealth or espionage within 10’ of them. The player can continue attacking a target that is vanishing/dashing, but the player must hold still while the target is moving""",3,Skill,Ranger,Stalker,,,,," (N'Vigilant', N'""The player will know if any Rogue talents are used near them or if any talents are used for stealth or espionage within 10’ of them. The player can continue attacking a target that is vanishing/dashing, but the player must hold still while the target is moving""', 3, N'Skill', N'Ranger', N'Stalker'),"
Hide,"""Allows the player to hide, preventing them from being seen. Moving breaks the Hide.""",1,Ability,Ranger,Stalker,,,,," (N'Hide', N'""Allows the player to hide, preventing them from being seen. Moving breaks the Hide.""', 1, N'Ability', N'Ranger', N'Stalker'),"
Hide,"""Allows the player to hide themselves and one other target as long as they are within touch-cast distance of the player, preventing them from being seen. The target will become visible if they are separated from the player. Moving while hidden hides the player's tracks.""",2,Ability,Ranger,Stalker,,,,," (N'Hide', N'""Allows the player to hide themselves and one other target as long as they are within touch-cast distance of the player, preventing them from being seen. The target will become visible if they are separated from the player. Moving while hidden hides the player's tracks.""', 2, N'Ability', N'Ranger', N'Stalker'),"
Hide,"""Allows the player to hide up to 5 targets in a 5' radius, preventing them from being seen. The player may move with one hidden target at a time, anyone that moves without the player, will break their hide. The player may use lower ranks of Hide for a Rank I Hide effect on a target. Moving while hidden hides the player's tracks.""",3,Ability,Ranger,Stalker,,,,," (N'Hide', N'""Allows the player to hide up to 5 targets in a 5' radius, preventing them from being seen. The player may move with one hidden target at a time, anyone that moves without the player, will break their hide. The player may use lower ranks of Hide for a Rank I Hide effect on a target. Moving while hidden hides the player's tracks.""', 3, N'Ability', N'Ranger', N'Stalker'),"
Multi-Shot,"""The player calls “multi-shot,” holding gameplay for the two closest targets in a 10’ cone. The player makes a single ranged attack against one target and deals the same damage to both targets if landed.""",1,Ability,Ranger,Stalker,,,,," (N'Multi-Shot', N'""The player calls “multi-shot,” holding gameplay for the two closest targets in a 10’ cone. The player makes a single ranged attack against one target and deals the same damage to both targets if landed.""', 1, N'Ability', N'Ranger', N'Stalker'),"
Multi-Shot,"""The player calls “multi-shot,” holding gameplay for the three closest targets in a 10’ cone. The player makes a single ranged attack against one target and deals the same damage to all three targets if landed.""",2,Ability,Ranger,Stalker,,,,," (N'Multi-Shot', N'""The player calls “multi-shot,” holding gameplay for the three closest targets in a 10’ cone. The player makes a single ranged attack against one target and deals the same damage to all three targets if landed.""', 2, N'Ability', N'Ranger', N'Stalker'),"
Multi-Shot,"""The player calls “multi-shot,” holding gameplay for all targets in a 10’ cone. The player makes a single ranged attack against one target, dealing the same damage to all targets if landed.""",3,Ability,Ranger,Stalker,,,,," (N'Multi-Shot', N'""The player calls “multi-shot,” holding gameplay for all targets in a 10’ cone. The player makes a single ranged attack against one target, dealing the same damage to all targets if landed.""', 3, N'Ability', N'Ranger', N'Stalker'),"
Poisons,"""Allows the player to make rank I poisons. Also gives 4 random herbs or fungi per event.""",1,Skill,Rogue,BaseRogue,,,,," (N'Poisons', N'""Allows the player to make rank I poisons. Also gives 4 random herbs or fungi per event.""', 1, N'Skill', N'Rogue', N'BaseRogue'),"
Poisons,"""Allows the player to make rank II poisons. Also gives 8 random or 4 specific herbs or fungi per event.""",2,Skill,Rogue,BaseRogue,,,,," (N'Poisons', N'""Allows the player to make rank II poisons. Also gives 8 random or 4 specific herbs or fungi per event.""', 2, N'Skill', N'Rogue', N'BaseRogue'),"
Poisons,"""Allows the player to make rank III poisons. Also gives 16 random or 8 specific herbs or fungi per event.""",3,Skill,Rogue,BaseRogue,,,,," (N'Poisons', N'""Allows the player to make rank III poisons. Also gives 16 random or 8 specific herbs or fungi per event.""', 3, N'Skill', N'Rogue', N'BaseRogue'),"
Blind,"""Blinds the target for 5 seconds.""",1,Ability,Rogue,BaseRogue,,,,," (N'Blind', N'""Blinds the target for 5 seconds.""', 1, N'Ability', N'Rogue', N'BaseRogue'),"
Blind,"""Blinds the target for 10 seconds.""",2,Ability,Rogue,BaseRogue,,,,," (N'Blind', N'""Blinds the target for 10 seconds.""', 2, N'Ability', N'Rogue', N'BaseRogue'),"
Blind,"""Blinds the target for 20 seconds.""",3,Ability,Rogue,BaseRogue,,,,," (N'Blind', N'""Blinds the target for 20 seconds.""', 3, N'Ability', N'Rogue', N'BaseRogue'),"
Disguise,"""After 10 seconds, the player can make themselves look like a random person with no affiliation to any group.""",1,Ability,Rogue,BaseRogue,,,,," (N'Disguise', N'""After 10 seconds, the player can make themselves look like a random person with no affiliation to any group.""', 1, N'Ability', N'Rogue', N'BaseRogue'),"
Disguise,"""After 10 seconds, the player can make themselves look like a random person with an affiliation to a group via symbol, uniform, etc.""",2,Ability,Rogue,BaseRogue,,,,," (N'Disguise', N'""After 10 seconds, the player can make themselves look like a random person with an affiliation to a group via symbol, uniform, etc.""', 2, N'Ability', N'Rogue', N'BaseRogue'),"
Disguise,"""The player can use previous ranks on team members. The player can disguise themself instantly and can perfectly resemble in all ways a specific person. Hostile action does not break this disguise.""",3,Ability,Rogue,BaseRogue,,,,," (N'Disguise', N'""The player can use previous ranks on team members. The player can disguise themself instantly and can perfectly resemble in all ways a specific person. Hostile action does not break this disguise.""', 3, N'Ability', N'Rogue', N'BaseRogue'),"
Assassinate,"""The player can instantly reduce a target's HP to 0 provided the target is not aware of the player's presence. This is audible to anyone within 10"".",1,Skill,Rogue,Assassin,,,,," (N'Assassinate', N'""The player can instantly reduce a target's HP to 0 provided the target is not aware of the player's presence. This is audible to anyone within 10"".', 1, N'Skill', N'Rogue', N'Assassin'),"
Assassinate,"""Any time the player uses assassinate, it is completely silent. The player can hide unconscious targets instantly.""",2,Skill,Rogue,Assassin,,,,," (N'Assassinate', N'""Any time the player uses assassinate, it is completely silent. The player can hide unconscious targets instantly.""', 2, N'Skill', N'Rogue', N'Assassin'),"
Assassinate,"""The player can assassinate multiple targets simultaneously. The player can use ranged weapons to perform assassinations as well. The player can regain the use of assassinate for an encounter if all parties that were aware of them have been killed.""",3,Skill,Rogue,Assassin,,,,," (N'Assassinate', N'""The player can assassinate multiple targets simultaneously. The player can use ranged weapons to perform assassinations as well. The player can regain the use of assassinate for an encounter if all parties that were aware of them have been killed.""', 3, N'Skill', N'Rogue', N'Assassin'),"
Precision,"""Adds 1 base damage until the player is hit for the first time during an encounter. The effect resets after the encounter.""",1,Skill,Rogue,Assassin,,,,," (N'Precision', N'""Adds 1 base damage until the player is hit for the first time during an encounter. The effect resets after the encounter.""', 1, N'Skill', N'Rogue', N'Assassin'),"
Precision,"""Adds 1 base damage until the player is hit for the first time during an encounter. The effect resets after the encounter. On the third successful hit the third hit deals +1 base damage.""",2,Skill,Rogue,Assassin,,,,," (N'Precision', N'""Adds 1 base damage until the player is hit for the first time during an encounter. The effect resets after the encounter. On the third successful hit the third hit deals +1 base damage.""', 2, N'Skill', N'Rogue', N'Assassin'),"
Precision,"""Adds 2 base damage until the player is hit for the first time during an encounter. The effect resets after the encounter. On the third successful hit the third hit deals +2 base damage.""",3,Skill,Rogue,Assassin,,,,," (N'Precision', N'""Adds 2 base damage until the player is hit for the first time during an encounter. The effect resets after the encounter. On the third successful hit the third hit deals +2 base damage.""', 3, N'Skill', N'Rogue', N'Assassin'),"
Expose,"""Make the player’s or an ally's next instance of damage piercing.""",1,Ability,Rogue,Assassin,,,,," (N'Expose', N'""Make the player’s or an ally's next instance of damage piercing.""', 1, N'Ability', N'Rogue', N'Assassin'),"
Expose,"""Make the player’s or an ally's successful attack piercing.""",2,Ability,Rogue,Assassin,,,,," (N'Expose', N'""Make the player’s or an ally's successful attack piercing.""', 2, N'Ability', N'Rogue', N'Assassin'),"
Expose,"""The player selects a target. Either the player’s or an ally’s damage against the target is piercing for the encounter.""",3,Ability,Rogue,Assassin,,,,," (N'Expose', N'""The player selects a target. Either the player’s or an ally’s damage against the target is piercing for the encounter.""', 3, N'Ability', N'Rogue', N'Assassin'),"
Ghost Blade,"""Doubles the marks damage.""",1,Ability,Rogue,Assassin,,,,," (N'Ghost Blade', N'""Doubles the marks damage.""', 1, N'Ability', N'Rogue', N'Assassin'),"
Ghost Blade,"""Triple the marks damage.""",2,Ability,Rogue,Assassin,,,,," (N'Ghost Blade', N'""Triple the marks damage.""', 2, N'Ability', N'Rogue', N'Assassin'),"
Ghost Blade,"""Triples the marks damage plus 10 or quadruple the marks damage and automatically redirects hits to the torso, excluding weapons and shields.""",3,Ability,Rogue,Assassin,,,,," (N'Ghost Blade', N'""Triples the marks damage plus 10 or quadruple the marks damage and automatically redirects hits to the torso, excluding weapons and shields.""', 3, N'Ability', N'Rogue', N'Assassin'),"
Invisibility,"""Allows the player to be invisible for 15 seconds.""",1,Ability,Rogue,Assassin,,,,," (N'Invisibility', N'""Allows the player to be invisible for 15 seconds.""', 1, N'Ability', N'Rogue', N'Assassin'),"
Invisibility,"""Allows the player to be invisible for 30 seconds.""",2,Ability,Rogue,Assassin,,,,," (N'Invisibility', N'""Allows the player to be invisible for 30 seconds.""', 2, N'Ability', N'Rogue', N'Assassin'),"
Invisibility,"""Allows the player to be invisible and completely silent for an encounter. Can use previous ranks of invisibility on ally targets. Ally targets cannot use Shadow.""",3,Ability,Rogue,Assassin,,,,," (N'Invisibility', N'""Allows the player to be invisible and completely silent for an encounter. Can use previous ranks of invisibility on ally targets. Ally targets cannot use Shadow.""', 3, N'Ability', N'Rogue', N'Assassin'),"
Skirmisher,"""Adds 1 to damage and 1 to DR for 1 hit. Resets on hitting a different enemy.""",1,Skill,Rogue,Thief,,,,," (N'Skirmisher', N'""Adds 1 to damage and 1 to DR for 1 hit. Resets on hitting a different enemy.""', 1, N'Skill', N'Rogue', N'Thief'),"
Skirmisher,"""Adds 1 to damage and 1 to DR for 2 hits. Resets on hitting a different enemy.""",2,Skill,Rogue,Thief,,,,," (N'Skirmisher', N'""Adds 1 to damage and 1 to DR for 2 hits. Resets on hitting a different enemy.""', 2, N'Skill', N'Rogue', N'Thief'),"
Skirmisher,"""Adds 2 to damage and 2 to DR for 2 hits. Resets on hitting a different enemy.""",3,Skill,Rogue,Thief,,,,," (N'Skirmisher', N'""Adds 2 to damage and 2 to DR for 2 hits. Resets on hitting a different enemy.""', 3, N'Skill', N'Rogue', N'Thief'),"
Sleight of Hand,"""Can pick 3 objects to pickpocket. Must guess all 3 objects correctly to succeed. Can only pickpocket coins. Allows the player to conceal up to 1 weight or up to 100 copper. Can pick locks in 30 seconds.""",1,Skill,Rogue,Thief,,,,," (N'Sleight of Hand', N'""Can pick 3 objects to pickpocket. Must guess all 3 objects correctly to succeed. Can only pickpocket coins. Allows the player to conceal up to 1 weight or up to 100 copper. Can pick locks in 30 seconds.""', 1, N'Skill', N'Rogue', N'Thief'),"
Sleight of Hand,"""Can pick 3 objects to pickpocket. Must guess at least 2 correctly to succeed. Can pickpocket coins and any item that would fit in a purse or bag. Allows the player to conceal up to 2 weight, or up to 500 copper. Can pick locks in 15 seconds.""",2,Skill,Rogue,Thief,,,,," (N'Sleight of Hand', N'""Can pick 3 objects to pickpocket. Must guess at least 2 correctly to succeed. Can pickpocket coins and any item that would fit in a purse or bag. Allows the player to conceal up to 2 weight, or up to 500 copper. Can pick locks in 15 seconds.""', 2, N'Skill', N'Rogue', N'Thief'),"
Sleight of Hand,"""Can pick 3 objects to pickpocket. Must guess at least 1 correctly to succeed. Can pickpocket any item that is not equipped. Allows the player to conceal 3 weight, as well as any amount of copper. They can also conceal any parietal weight item on another target. Can pick locks in 5 seconds.""",3,Skill,Rogue,Thief,,,,," (N'Sleight of Hand', N'""Can pick 3 objects to pickpocket. Must guess at least 1 correctly to succeed. Can pickpocket any item that is not equipped. Allows the player to conceal 3 weight, as well as any amount of copper. They can also conceal any parietal weight item on another target. Can pick locks in 5 seconds.""', 3, N'Skill', N'Rogue', N'Thief'),"
Acrobatics,"""The player can move for 5 seconds.""",1,Ability,Rogue,Thief,,,,," (N'Acrobatics', N'""The player can move for 5 seconds.""', 1, N'Ability', N'Rogue', N'Thief'),"
Acrobatics,"""The player can move 2 times in a row, 5 seconds each time.""",2,Ability,Rogue,Thief,,,,," (N'Acrobatics', N'""The player can move 2 times in a row, 5 seconds each time.""', 2, N'Ability', N'Rogue', N'Thief'),"
Acrobatics,"""The player can move 3 times in a row, 5 seconds each time.""",3,Ability,Rogue,Thief,,,,," (N'Acrobatics', N'""The player can move 3 times in a row, 5 seconds each time.""', 3, N'Ability', N'Rogue', N'Thief'),"
Daze,"""The target is shaken for 5 seconds""",1,Ability,Rogue,Thief,,,,," (N'Daze', N'""The target is shaken for 5 seconds""', 1, N'Ability', N'Rogue', N'Thief'),"
Daze,"""The target is shaken for 10 seconds""",2,Ability,Rogue,Thief,,,,," (N'Daze', N'""The target is shaken for 10 seconds""', 2, N'Ability', N'Rogue', N'Thief'),"
Daze,"""The target is shaken for 20 seconds""",3,Ability,Rogue,Thief,,,,," (N'Daze', N'""The target is shaken for 20 seconds""', 3, N'Ability', N'Rogue', N'Thief'),"
Façade,"""Allows the player to remove suspicion from themselves or to throw their voice to distract a target for 30 seconds.""",1,Ability,Rogue,Thief,,,,," (N'Façade', N'""Allows the player to remove suspicion from themselves or to throw their voice to distract a target for 30 seconds.""', 1, N'Ability', N'Rogue', N'Thief'),"
Façade,"""Allows the player to completely remove suspicion from themselves, allowing them to re-attempt the failed action, or to throw their voice to distract two targets for 30 seconds.""",2,Ability,Rogue,Thief,,,,," (N'Façade', N'""Allows the player to completely remove suspicion from themselves, allowing them to re-attempt the failed action, or to throw their voice to distract two targets for 30 seconds.""', 2, N'Ability', N'Rogue', N'Thief'),"
Façade,"""Allows the player to remove suspicion from themselves and move a target's current suspicion elsewhere, or to throw their voice to distract six targets for 30 seconds.""",3,Ability,Rogue,Thief,,,,," (N'Façade', N'""Allows the player to remove suspicion from themselves and move a target's current suspicion elsewhere, or to throw their voice to distract six targets for 30 seconds.""', 3, N'Ability', N'Rogue', N'Thief'),"
